distance_m,method,search_seed,range_rcrb_m,angle_rcrb_deg,physical_crb_trace,minimum_achieved_rate,minimum_rate_margin,transmit_power_margin,validation_passed,wall_seconds,fitness_evaluations,solver_calls,infeasible_evaluations,waveform_file
5.0,fully-digital-sdr,,0.0022375989253908767,0.00024113467032012403,5.0068666631733395e-06,5.000000173104465,1.7310446498441934e-07,3.059199116250966e-08,True,1.7756752000000233,1,1,0,distance_5m/fully-digital-sdr.npz
5.0,hybrid-de-sdr,101,0.010171028268237422,0.001044579922291778,0.0001034501484157337,5.000000075388899,7.53888986793072e-08,1.33916842059989e-08,True,72.23456249999981,252,251,9,distance_5m/hybrid-de-sdr_seed_101.npz
5.0,hybrid-de-sdr,202,0.009826779930809841,0.0013866927454490505,9.65661895625121e-05,5.000000000110466,1.1046630277178338e-10,6.59525767332525e-10,True,75.38639719999992,252,250,19,distance_5m/hybrid-de-sdr_seed_202.npz
5.0,hybrid-de-sdr,303,0.010171028268237422,0.001044579922291778,0.0001034501484157337,5.000000075388899,7.53888986793072e-08,1.33916842059989e-08,True,70.26597680000032,252,251,12,distance_5m/hybrid-de-sdr_seed_303.npz
5.0,hybrid-pso-sdr,101,0.010171028268237422,0.001044579922291778,0.0001034501484157337,5.000000075388899,7.53888986793072e-08,1.33916842059989e-08,True,65.03398830000015,252,231,7,distance_5m/hybrid-pso-sdr_seed_101.npz
5.0,hybrid-pso-sdr,202,0.00932733623749172,0.0011345124408178153,8.699959336593604e-05,5.000000002424858,2.424857648009038e-09,9.861111038844683e-09,True,68.55072860000018,252,250,17,distance_5m/hybrid-pso-sdr_seed_202.npz
5.0,hybrid-pso-sdr,303,0.010171028268237422,0.001044579922291778,0.0001034501484157337,5.000000075388899,7.53888986793072e-08,1.33916842059989e-08,True,61.641650200000186,252,231,3,distance_5m/hybrid-pso-sdr_seed_303.npz
5.0,hybrid-two-stage-sdr,,0.010171028268237422,0.001044579922291778,0.0001034501484157337,5.000000075388899,7.53888986793072e-08,1.33916842059989e-08,True,0.14293640000005325,1,1,0,distance_5m/hybrid-two-stage-sdr.npz
10.0,fully-digital-sdr,,0.008962311215045546,0.00024051280939495437,8.032303993635577e-05,5.000000022932423,2.293242307160881e-08,4.0479477547705756e-09,True,1.835394499999893,1,1,0,distance_10m/fully-digital-sdr.npz
10.0,hybrid-de-sdr,101,0.03496616583992105,0.0013547302868459254,0.0012226333126074303,5.000000003206428,3.206428011992557e-09,3.0674982554046437e-09,True,71.91764109999986,252,250,20,distance_10m/hybrid-de-sdr_seed_101.npz
10.0,hybrid-de-sdr,202,0.03708462412417495,0.001229528481168032,0.0013752698069337643,5.0000000137389655,1.3738965520815327e-08,6.755584536222159e-09,True,74.77138679999962,252,249,16,distance_10m/hybrid-de-sdr_seed_202.npz
10.0,hybrid-de-sdr,303,0.0348933497809914,0.001320484868647068,0.0012175463900940028,5.00000000427841,4.278409626579105e-09,3.84881104764645e-09,True,69.60211830000026,252,250,23,distance_10m/hybrid-de-sdr_seed_303.npz
10.0,hybrid-pso-sdr,101,0.04391749338404082,0.000996362797470302,0.0019287465275428088,5.000000059443213,5.944321301853961e-08,1.0361986824136693e-08,True,64.77091599999994,252,231,7,distance_10m/hybrid-pso-sdr_seed_101.npz
10.0,hybrid-pso-sdr,202,0.03608025375404835,0.001104797256519965,0.0013017850827655299,5.000000000157991,1.5799095365309768e-10,6.044160727469716e-10,True,68.17598099999987,252,250,15,distance_10m/hybrid-pso-sdr_seed_202.npz
10.0,hybrid-pso-sdr,303,0.03571390048538955,0.0011497501435546004,0.00127548309056181,5.000000003009324,3.009324345271125e-09,9.13701114768628e-10,True,65.49688080000033,252,248,6,distance_10m/hybrid-pso-sdr_seed_303.npz
