distance_m,method,runs,range_rcrb_m_mean,range_rcrb_m_std,angle_rcrb_deg_mean,angle_rcrb_deg_std,physical_crb_trace_mean,physical_crb_trace_std,wall_seconds_mean,wall_seconds_std,fitness_evaluations_mean,fitness_evaluations_std,solver_calls_mean,solver_calls_std,infeasible_evaluations_mean,infeasible_evaluations_std,trace_reduction_vs_original_hb_percent
5.0,fully-digital-sdr,1,0.0022375989253908767,0.0,0.00024113467032012403,0.0,5.0068666631733395e-06,0.0,1.7756752000000233,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.16011650070108
5.0,hybrid-two-stage-sdr,1,0.010171028268237422,0.0,0.001044579922291778,0.0,0.0001034501484157337,0.0,0.14293640000005325,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,hybrid-pso-sdr,3,0.00988979759132219,0.00048710582106417357,0.0010745574284671238,5.192256377990861e-05,9.796663006580114e-05,9.497732386319437e-06,65.07545570000018,3.4547258564586145,252.0,0.0,237.33333333333334,10.969655114602888,9.0,7.211102550927978,5.300638456211793
5.0,hybrid-de-sdr,3,0.01005627882242823,0.00019875187028189488,0.001158617530010869,0.0001975189305430741,0.00010115549546465984,3.9744554969978e-06,72.62897883333335,2.58289555560871,252.0,0.0,250.66666666666666,0.5773502691896258,13.333333333333334,5.131601439446884,2.218124368321228
10.0,fully-digital-sdr,1,0.008962311215045546,0.0,0.00024051280939495437,0.0,8.032303993635577e-05,0.0,1.835394499999893,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.83547973829998
10.0,hybrid-two-stage-sdr,1,0.04391749338404082,0.0,0.000996362797470302,0.0,0.0019287465275428088,0.0,0.14552260000027673,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
10.0,hybrid-pso-sdr,3,0.03857054920782624,0.0046342111191691,0.0010836367325149558,7.885268110103177e-05,0.0015020049002900495,0.0003698030029910801,66.14792593333338,1.7934636148479863,252.0,0.0,243.0,10.44030650891055,9.333333333333334,4.932882862316248,22.12533483061774
10.0,hybrid-de-sdr,3,0.0356480465816958,0.001244645259210868,0.0013015812122203418,6.470613731305576e-05,0.0012718165032117323,8.962928502122859e-05,72.09704873333324,2.5893000078100505,252.0,0.0,249.66666666666666,0.5773502691896258,19.666666666666668,3.5118845842842465,34.05994592602038
15.0,fully-digital-sdr,1,0.020172062124670088,0.0,0.00024037473260350652,0.0,0.0004069121079623477,0.0,1.831595500000276,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.90865149218985
15.0,hybrid-two-stage-sdr,1,0.099727989155714,0.0,0.0009942658806997282,0.0,0.009945672122176218,0.0,0.14422899999999572,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
