distance_m,method,search_seed,generation,evaluations,best_objective,objective_over_original_hb
5.0,hybrid-pso-sdr,202,1,24,9.329618606043507e-05,0.9018468115377364
5.0,hybrid-pso-sdr,202,2,36,9.329618606043507e-05,0.9018468115377364
5.0,hybrid-pso-sdr,202,3,48,9.329618606043507e-05,0.9018468115377364
5.0,hybrid-pso-sdr,202,4,60,8.915897963966225e-05,0.8618545398619095
5.0,hybrid-pso-sdr,202,5,72,8.915897963966225e-05,0.8618545398619095
5.0,hybrid-pso-sdr,202,6,84,8.915897963966225e-05,0.8618545398619095
5.0,hybrid-pso-sdr,202,7,96,8.915897963966225e-05,0.8618545398619095
5.0,hybrid-pso-sdr,202,8,108,8.915897963966225e-05,0.8618545398619095
5.0,hybrid-pso-sdr,202,9,120,8.915897963966225e-05,0.8618545398619095
5.0,hybrid-pso-sdr,202,10,132,8.908690543722748e-05,0.8611578351797071
5.0,hybrid-pso-sdr,202,11,144,8.908690543722748e-05,0.8611578351797071
5.0,hybrid-pso-sdr,202,12,156,8.908690543722748e-05,0.8611578351797071
5.0,hybrid-pso-sdr,202,13,168,8.844983527483199e-05,0.8549996017197666
5.0,hybrid-pso-sdr,202,14,180,8.775388308257168e-05,0.848272185604749
5.0,hybrid-pso-sdr,202,15,192,8.775388308257168e-05,0.848272185604749
5.0,hybrid-pso-sdr,202,16,204,8.712216163632379e-05,0.8421656554652466
5.0,hybrid-pso-sdr,202,17,216,8.705242594095508e-05,0.8414915559422725
5.0,hybrid-pso-sdr,202,18,228,8.705242594095508e-05,0.8414915559422725
5.0,hybrid-pso-sdr,202,19,240,8.705242594095508e-05,0.8414915559422725
5.0,hybrid-pso-sdr,202,20,252,8.699959315878661e-05,0.8409808482900601
5.0,hybrid-pso-sdr,303,0,12,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,1,24,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,2,36,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,3,48,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,4,60,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,5,72,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,6,84,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,7,96,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,8,108,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,9,120,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,10,132,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,11,144,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,12,156,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,13,168,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,14,180,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,15,192,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,16,204,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,17,216,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,18,228,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,19,240,0.00010345014792629362,1.0
5.0,hybrid-pso-sdr,303,20,252,0.00010345014792629362,1.0
10.0,hybrid-de-sdr,101,0,12,0.001928746521596819,1.0
10.0,hybrid-de-sdr,101,1,24,0.001928746521596819,1.0
10.0,hybrid-de-sdr,101,2,36,0.0015374978380267121,0.7971487288821187
10.0,hybrid-de-sdr,101,3,48,0.0015374978380267121,0.7971487288821187
10.0,hybrid-de-sdr,101,4,60,0.0015374978380267121,0.7971487288821187
10.0,hybrid-de-sdr,101,5,72,0.0015374978380267121,0.7971487288821187
10.0,hybrid-de-sdr,101,6,84,0.0015374978380267121,0.7971487288821187
10.0,hybrid-de-sdr,101,7,96,0.0015374978380267121,0.7971487288821187
10.0,hybrid-de-sdr,101,8,108,0.0015057673855693196,0.7806973952817228
10.0,hybrid-de-sdr,101,9,120,0.0015057673855693196,0.7806973952817228
10.0,hybrid-de-sdr,101,10,132,0.0015057673855693196,0.7806973952817228
10.0,hybrid-de-sdr,101,11,144,0.0015057673855693196,0.7806973952817228
10.0,hybrid-de-sdr,101,12,156,0.001222633312668547,0.6339004628022985
10.0,hybrid-de-sdr,101,13,168,0.001222633312668547,0.6339004628022985
10.0,hybrid-de-sdr,101,14,180,0.001222633312668547,0.6339004628022985
10.0,hybrid-de-sdr,101,15,192,0.001222633312668547,0.6339004628022985
10.0,hybrid-de-sdr,101,16,204,0.001222633312668547,0.6339004628022985
10.0,hybrid-de-sdr,101,17,216,0.001222633312668547,0.6339004628022985
10.0,hybrid-de-sdr,101,18,228,0.001222633312668547,0.6339004628022985
10.0,hybrid-de-sdr,101,19,240,0.001222633312668547,0.6339004628022985
10.0,hybrid-de-sdr,101,20,252,0.001222633312668547,0.6339004628022985
10.0,hybrid-de-sdr,202,0,12,0.0014445436573616258,0.748954640325511
10.0,hybrid-de-sdr,202,1,24,0.0014445436573616258,0.748954640325511
10.0,hybrid-de-sdr,202,2,36,0.0014445436573616258,0.748954640325511
10.0,hybrid-de-sdr,202,3,48,0.0014445436573616258,0.748954640325511
10.0,hybrid-de-sdr,202,4,60,0.0014445436573616258,0.748954640325511
10.0,hybrid-de-sdr,202,5,72,0.0014445436573616258,0.748954640325511
10.0,hybrid-de-sdr,202,6,84,0.0014445436573616258,0.748954640325511
10.0,hybrid-de-sdr,202,7,96,0.0014445436573616258,0.748954640325511
10.0,hybrid-de-sdr,202,8,108,0.0014445436573616258,0.748954640325511
10.0,hybrid-de-sdr,202,9,120,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,10,132,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,11,144,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,12,156,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,13,168,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,14,180,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,15,192,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,16,204,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,17,216,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,18,228,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,19,240,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,202,20,252,0.0013752698049513176,0.713038125825225
10.0,hybrid-de-sdr,303,0,12,0.001928746521596819,1.0
10.0,hybrid-de-sdr,303,1,24,0.001928746521596819,1.0
10.0,hybrid-de-sdr,303,2,36,0.001928746521596819,1.0
10.0,hybrid-de-sdr,303,3,48,0.001928746521596819,1.0
10.0,hybrid-de-sdr,303,4,60,0.001414604158967657,0.7334318652699366
10.0,hybrid-de-sdr,303,5,72,0.0013673408884397646,0.7089272090081262
10.0,hybrid-de-sdr,303,6,84,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,7,96,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,8,108,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,9,120,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,10,132,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,11,144,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,12,156,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,13,168,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,14,180,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,15,192,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,16,204,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,17,216,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,18,228,0.0013530897478939818,0.7015383995475735
10.0,hybrid-de-sdr,303,19,240,0.0013129426137817037,0.680723256830406
10.0,hybrid-de-sdr,303,20,252,0.0012175463886510056,0.631263037946009
10.0,hybrid-pso-sdr,101,0,12,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,1,24,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,2,36,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,3,48,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,4,60,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,5,72,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,6,84,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,7,96,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,8,108,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,9,120,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,10,132,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,11,144,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,12,156,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,13,168,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,14,180,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,15,192,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,16,204,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,17,216,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,18,228,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,19,240,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,101,20,252,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,202,0,12,0.0014445436573616258,0.748954640325511
10.0,hybrid-pso-sdr,202,1,24,0.0013841350780582908,0.7176345168012842
10.0,hybrid-pso-sdr,202,2,36,0.0013841350780582908,0.7176345168012842
10.0,hybrid-pso-sdr,202,3,48,0.0013841350780582908,0.7176345168012842
10.0,hybrid-pso-sdr,202,4,60,0.0013479767735329767,0.6988874683320128
10.0,hybrid-pso-sdr,202,5,72,0.0013479767735329767,0.6988874683320128
10.0,hybrid-pso-sdr,202,6,84,0.0013479767735329767,0.6988874683320128
10.0,hybrid-pso-sdr,202,7,96,0.0013479767735329767,0.6988874683320128
10.0,hybrid-pso-sdr,202,8,108,0.0013479767735329767,0.6988874683320128
10.0,hybrid-pso-sdr,202,9,120,0.0013479767735329767,0.6988874683320128
10.0,hybrid-pso-sdr,202,10,132,0.0013479767735329767,0.6988874683320128
10.0,hybrid-pso-sdr,202,11,144,0.0013479767735329767,0.6988874683320128
10.0,hybrid-pso-sdr,202,12,156,0.0013479767735329767,0.6988874683320128
10.0,hybrid-pso-sdr,202,13,168,0.0013479767735329767,0.6988874683320128
10.0,hybrid-pso-sdr,202,14,180,0.0013277257399456244,0.6883878856441922
10.0,hybrid-pso-sdr,202,15,192,0.0013028583996742833,0.6754948797500048
10.0,hybrid-pso-sdr,202,16,204,0.0013028583996742833,0.6754948797500048
10.0,hybrid-pso-sdr,202,17,216,0.0013028583996742833,0.6754948797500048
10.0,hybrid-pso-sdr,202,18,228,0.0013028583996742833,0.6754948797500048
10.0,hybrid-pso-sdr,202,19,240,0.0013017850826905054,0.6749383955403072
10.0,hybrid-pso-sdr,202,20,252,0.0013017850826905054,0.6749383955403072
10.0,hybrid-pso-sdr,303,0,12,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,303,1,24,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,303,2,36,0.001928746521596819,1.0
10.0,hybrid-pso-sdr,303,3,48,0.0018937090503976111,0.9818340716071907
10.0,hybrid-pso-sdr,303,4,60,0.0018937090503976111,0.9818340716071907
10.0,hybrid-pso-sdr,303,5,72,0.0018528867084559224,0.960668852909665
10.0,hybrid-pso-sdr,303,6,84,0.0018004323582880015,0.9334727700752582
10.0,hybrid-pso-sdr,303,7,96,0.0018004323582880015,0.9334727700752582
10.0,hybrid-pso-sdr,303,8,108,0.0015377809190365494,0.7972954983029148
10.0,hybrid-pso-sdr,303,9,120,0.0015377809190365494,0.7972954983029148
10.0,hybrid-pso-sdr,303,10,132,0.0015377809190365494,0.7972954983029148
10.0,hybrid-pso-sdr,303,11,144,0.0013880163956462067,0.7196468691474611
10.0,hybrid-pso-sdr,303,12,156,0.0013652294621296474,0.7078324947538296
10.0,hybrid-pso-sdr,303,13,168,0.0013506659994358672,0.7002817551772661
10.0,hybrid-pso-sdr,303,14,180,0.0013506659994358672,0.7002817551772661
10.0,hybrid-pso-sdr,303,15,192,0.0013306008049206166,0.6898785247420721
10.0,hybrid-pso-sdr,303,16,204,0.0013157972733470538,0.6822033163060217
10.0,hybrid-pso-sdr,303,17,216,0.0012986344937487872,0.6733049051327082
10.0,hybrid-pso-sdr,303,18,228,0.0012958052473394535,0.671838021652866
10.0,hybrid-pso-sdr,303,19,240,0.0012769207650723264,0.6620469568054786
10.0,hybrid-pso-sdr,303,20,252,0.0012754830914480319,0.6613015640811386
15.0,hybrid-de-sdr,101,0,12,0.009945672126325049,1.0
15.0,hybrid-de-sdr,101,1,24,0.009945672126325049,1.0
15.0,hybrid-de-sdr,101,2,36,0.007816820399453054,0.7859519497694712
15.0,hybrid-de-sdr,101,3,48,0.007816820399453054,0.7859519497694712
15.0,hybrid-de-sdr,101,4,60,0.007816820399453054,0.7859519497694712
15.0,hybrid-de-sdr,101,5,72,0.007816820399453054,0.7859519497694712
15.0,hybrid-de-sdr,101,6,84,0.007816820399453054,0.7859519497694712
15.0,hybrid-de-sdr,101,7,96,0.007816820399453054,0.7859519497694712
15.0,hybrid-de-sdr,101,8,108,0.0076905297913086035,0.773253903167857
15.0,hybrid-de-sdr,101,9,120,0.0076905297913086035,0.773253903167857
15.0,hybrid-de-sdr,101,10,132,0.0076905297913086035,0.773253903167857
15.0,hybrid-de-sdr,101,11,144,0.0076905297913086035,0.773253903167857
15.0,hybrid-de-sdr,101,12,156,0.0076905297913086035,0.773253903167857
15.0,hybrid-de-sdr,101,13,168,0.0076905297913086035,0.773253903167857
15.0,hybrid-de-sdr,101,14,180,0.0076905297913086035,0.773253903167857
15.0,hybrid-de-sdr,101,15,192,0.0076905297913086035,0.773253903167857
15.0,hybrid-de-sdr,101,16,204,0.007123492855399272,0.7162404677049635
15.0,hybrid-de-sdr,101,17,216,0.007123492855399272,0.7162404677049635
15.0,hybrid-de-sdr,101,18,228,0.006997967060923567,0.7036193202469198
15.0,hybrid-de-sdr,101,19,240,0.006997967060923567,0.7036193202469198
15.0,hybrid-de-sdr,101,20,252,0.006589230218091872,0.6625223649441387
15.0,hybrid-de-sdr,202,0,12,0.007373391909408987,0.7413668795588453
15.0,hybrid-de-sdr,202,1,24,0.007373391909408987,0.7413668795588453
15.0,hybrid-de-sdr,202,2,36,0.007373391909408987,0.7413668795588453
15.0,hybrid-de-sdr,202,3,48,0.007373391909408987,0.7413668795588453
15.0,hybrid-de-sdr,202,4,60,0.007373391909408987,0.7413668795588453
15.0,hybrid-de-sdr,202,5,72,0.007373391909408987,0.7413668795588453
