distance_m,method,runs,range_rcrb_m_mean,range_rcrb_m_std,angle_rcrb_deg_mean,angle_rcrb_deg_std,physical_crb_trace_mean,physical_crb_trace_std,wall_seconds_mean,wall_seconds_std,fitness_evaluations_mean,fitness_evaluations_std,solver_calls_mean,solver_calls_std,infeasible_evaluations_mean,infeasible_evaluations_std,trace_reduction_vs_original_hb_percent
5.0,fully-digital-sdr,1,0.0022375989029711006,0.0,0.0002411312926372164,0.0,5.006866562344201e-06,0.0,1.5148487999977078,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.16011657526919
5.0,hybrid-two-stage-sdr,1,0.010171028244177005,0.0,0.001044579919613981,0.0,0.00010345014792629362,0.0,0.1428582000080496,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,hybrid-pso-sdr,3,0.009889797571580912,0.00048710581358320476,0.0010745574138441257,5.192254309021324e-05,9.796662967045794e-05,9.49773222333885e-06,39.95075439999831,11.339274126879328,252.0,0.0,237.33333333333334,10.969655114602888,9.0,7.211102550927978,5.300638390331347
5.0,hybrid-de-sdr,3,0.010056278806169034,0.00019875185676978294,0.001158617520705598,0.00019751891906395248,0.00010115549513405758,3.974455221882597e-06,34.95281006666968,0.3707536981446073,252.0,0.0,250.66666666666666,0.5773502691896258,13.0,5.5677643628300215,2.2181242252750977
10.0,fully-digital-sdr,1,0.008962311203211165,0.0,0.00024051325907567487,0.0,8.032303972429488e-05,0.0,1.6275803000025917,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.83547973645624
10.0,hybrid-two-stage-sdr,1,0.04391749331634581,0.0,0.0009963627982540624,0.0,0.001928746521596819,0.0,0.13735380000434816,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
10.0,hybrid-pso-sdr,3,0.03857054918904989,0.004634211076571679,0.0010836367866518927,7.885274947455761e-05,0.0015020048985784518,0.00036980299930921634,40.69579043332973,10.711178133580042,252.0,0.0,243.0,10.44030650891055,9.333333333333334,4.932882862316248,22.125334679285157
10.0,hybrid-de-sdr,3,0.035648046566188155,0.001244645249812742,0.0013015809527242553,6.470592455819523e-05,0.00127181650209029,8.962928429721879e-05,34.74080830000457,0.3456106395469962,252.0,0.0,249.66666666666666,0.5773502691896258,20.0,3.605551275463989,34.05994578088225
15.0,fully-digital-sdr,1,0.020172062152905547,0.0,0.00024037271567162465,0.0,0.0004069121091011871,0.0,1.520232800001395,0.0,1.0,0.0,1.0,0.0,0.0,0.0,95.90865148244593
15.0,hybrid-two-stage-sdr,1,0.09972798917651472,0.0,0.000994265881328685,0.0,0.009945672126325049,0.0,0.14453800000774208,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
15.0,hybrid-pso-sdr,3,0.08528549389152602,0.012653073082874357,0.001155978463524331,0.0002086516247545429,0.007380349389845734,0.0022416292190158317,40.82758380000208,10.56681956543655,252.0,0.0,243.66666666666666,10.969655114602888,5.666666666666667,1.1547005383792517,25.793357189899723
15.0,hybrid-de-sdr,3,0.0807034201285295,0.0020155541283312295,0.001221897552457843,1.9623622680070485e-05,0.006515750780953684,0.00032398458941038766,34.81508676666999,0.35207906514483417,252.0,0.0,250.0,1.0,15.333333333333334,2.516611478423583,34.48657166460131
