distance_m,method,search_seed,range_rcrb_m,angle_rcrb_deg,physical_crb_trace,minimum_achieved_rate,minimum_rate_margin,transmit_power_margin,validation_passed,wall_seconds,fitness_evaluations,solver_calls,infeasible_evaluations,waveform_file
5.0,fully-digital-sdr,,0.0022375989029711006,0.0002411312926372164,5.006866562344201e-06,5.000000012596407,1.2596406584464148e-08,4.127841179979441e-09,True,1.5148487999977078,1,1,0,distance_5m/fully-digital-sdr.npz
5.0,hybrid-de-sdr,101,0.010171028244177005,0.001044579919613981,0.00010345014792629362,5.000000005133112,5.133111713462313e-09,2.2606343463849043e-09,True,34.59199330001138,252,251,8,distance_5m/hybrid-de-sdr_seed_101.npz
5.0,hybrid-de-sdr,202,0.009826779930153089,0.0013866927228888316,9.656618954958552e-05,4.999999995124528,-4.8754715820109595e-09,1.892885848064907e-10,True,35.33275980000326,252,250,19,distance_5m/hybrid-de-sdr_seed_202.npz
5.0,hybrid-de-sdr,303,0.010171028244177005,0.001044579919613981,0.00010345014792629362,5.000000005133112,5.133111713462313e-09,2.2606343463849043e-09,True,34.933677099994384,252,251,12,distance_5m/hybrid-de-sdr_seed_303.npz
5.0,hybrid-pso-sdr,101,0.010171028244177005,0.001044579919613981,0.00010345014792629362,5.000000005133112,5.133111713462313e-09,2.2606343463849043e-09,True,53.00116519999574,252,231,7,distance_5m/hybrid-pso-sdr_seed_101.npz
5.0,hybrid-pso-sdr,202,0.00932733622638872,0.0011345124023044147,8.699959315878661e-05,4.999999995270242,-4.729757918653377e-09,5.311449058353901e-10,True,34.344364100004896,252,250,17,distance_5m/hybrid-pso-sdr_seed_202.npz
5.0,hybrid-pso-sdr,303,0.010171028244177005,0.001044579919613981,0.00010345014792629362,5.000000005133112,5.133111713462313e-09,2.2606343463849043e-09,True,32.50673389999429,252,231,3,distance_5m/hybrid-pso-sdr_seed_303.npz
5.0,hybrid-two-stage-sdr,,0.010171028244177005,0.001044579919613981,0.00010345014792629362,5.000000005133112,5.133111713462313e-09,2.2606343463849043e-09,True,0.1428582000080496,1,1,0,distance_5m/hybrid-two-stage-sdr.npz
10.0,fully-digital-sdr,,0.008962311203211165,0.00024051325907567487,8.032303972429488e-05,4.999999997228776,-2.7712241390531744e-09,3.233679990444216e-10,True,1.6275803000025917,1,1,0,distance_10m/fully-digital-sdr.npz
10.0,hybrid-de-sdr,101,0.034966165840800104,0.0013547298533148231,0.001222633312668547,4.999999979922564,-2.0077435713972136e-08,3.2587763598712627e-09,True,34.43958190000558,252,250,21,distance_10m/hybrid-de-sdr_seed_101.npz
10.0,hybrid-de-sdr,202,0.03708462409744649,0.0012295284588536228,0.0013752698049513176,4.999999978942194,-2.1057806165458715e-08,1.0774954262160463e-09,True,35.118123300009756,252,249,16,distance_10m/hybrid-de-sdr_seed_202.npz
10.0,hybrid-de-sdr,303,0.03489334976031787,0.00132048454600432,0.0012175463886510056,4.999999998823974,-1.1760263873838994e-09,2.963531642308226e-10,True,34.664719699998386,252,250,23,distance_10m/hybrid-de-sdr_seed_303.npz
10.0,hybrid-pso-sdr,101,0.04391749331634581,0.0009963627982540624,0.001928746521596819,5.000000004163884,4.163884348429292e-09,2.995619752255152e-09,True,53.063741199992364,252,231,7,distance_10m/hybrid-pso-sdr_seed_101.npz
10.0,hybrid-pso-sdr,202,0.0360802537530087,0.0011047972528371473,0.0013017850826905054,4.99999998829192,-1.1708079838967933e-08,5.073275133327115e-10,True,34.443387100007385,252,250,15,distance_10m/hybrid-pso-sdr_seed_202.npz
10.0,hybrid-pso-sdr,303,0.035713900497795166,0.0011497503088644687,0.0012754830914480319,4.9999999847520185,-1.524798154406426e-08,3.6423273286345648e-09,True,34.58024299998942,252,248,6,distance_10m/hybrid-pso-sdr_seed_303.npz
10.0,hybrid-two-stage-sdr,,0.04391749331634581,0.0009963627982540624,0.001928746521596819,5.000000004163884,4.163884348429292e-09,2.995619752255152e-09,True,0.13735380000434816,1,1,0,distance_10m/hybrid-two-stage-sdr.npz
15.0,fully-digital-sdr,,0.020172062152905547,0.00024037271567162465,0.0004069121091011871,4.999999969409399,-3.059060116328283e-08,3.698062300827587e-09,True,1.520232800001395,1,1,0,distance_15m/fully-digital-sdr.npz
15.0,hybrid-de-sdr,101,0.08117407074447203,0.00122466069608261,0.006589230218091872,4.9999999969518605,-3.0481395185688598e-09,3.788898084167158e-10,True,34.47345010000572,252,250,18,distance_15m/hybrid-de-sdr_seed_101.npz
15.0,hybrid-de-sdr,202,0.07849418386954811,0.0012010388056687986,0.006161337340755292,4.999999989000834,-1.0999166022429563e-08,5.905462785449345e-10,True,35.17675310000777,252,249,13,distance_15m/hybrid-de-sdr_seed_202.npz
15.0,hybrid-de-sdr,303,0.08244200577156839,0.00123999315562212,0.006796684784013888,4.9999999985377865,-1.4622134614228344e-09,1.3385204056248767e-10,True,34.795057099996484,252,251,15,distance_15m/hybrid-de-sdr_seed_303.npz
15.0,hybrid-pso-sdr,101,0.09972798917651472,0.000994265881328685,0.009945672126325049,5.0000000048854725,4.885472471016783e-09,3.680469262690167e-09,True,53.027755599992815,252,231,5,distance_15m/hybrid-pso-sdr_seed_101.npz
15.0,hybrid-pso-sdr,202,0.07997762177356132,0.0010821664609016147,0.006396420341287492,4.999999999902109,-9.78905845272493e-11,3.0240698833949864e-11,True,34.570871700008865,252,250,7,distance_15m/hybrid-pso-sdr_seed_202.npz
15.0,hybrid-pso-sdr,303,0.07615087072450204,0.0013915030483426928,0.005798955701924662,4.9999998411244295,-1.588755704773348e-07,8.803979767435521e-09,True,34.884124100004556,252,250,5,distance_15m/hybrid-pso-sdr_seed_303.npz
15.0,hybrid-two-stage-sdr,,0.09972798917651472,0.000994265881328685,0.009945672126325049,5.0000000048854725,4.885472471016783e-09,3.680469262690167e-09,True,0.14453800000774208,1,1,0,distance_15m/hybrid-two-stage-sdr.npz
20.0,fully-digital-sdr,,0.035866956460322785,0.00024030390060273985,0.001286438583317117,4.999999983451342,-1.6548658443582553e-08,6.146905207060627e-09,True,1.5409406999970088,1,1,0,distance_20m/fully-digital-sdr.npz
20.0,hybrid-de-sdr,101,0.14531559249642023,0.0012238789758634175,0.02111662187886593,4.999999990649758,-9.350242358152627e-09,1.2286704986763652e-09,True,34.405598099998315,252,250,17,distance_20m/hybrid-de-sdr_seed_101.npz
20.0,hybrid-de-sdr,202,0.13608614469042654,0.0016641523033817183,0.01851943962031207,4.999999997854115,-2.145885247273327e-09,2.579227498245018e-09,True,35.055138499999885,252,250,11,distance_20m/hybrid-de-sdr_seed_202.npz
20.0,hybrid-de-sdr,303,0.14682533550703447,0.0015467789354160538,0.021557679875558053,4.999999995371276,-4.628724070698809e-09,2.985501623697928e-09,True,34.81357080000453,252,251,20,distance_20m/hybrid-de-sdr_seed_303.npz
20.0,hybrid-pso-sdr,101,0.1774955033374726,0.000996260117960055,0.03150465400736596,5.000000030292576,3.029257555908771e-08,2.6527004592935555e-08,True,53.0372539999953,252,231,5,distance_20m/hybrid-pso-sdr_seed_101.npz
20.0,hybrid-pso-sdr,202,0.14291092263292648,0.0011088894970861366,0.02042353218236282,4.9999997885888545,-2.1141114547873485e-07,1.1531568588907248e-08,True,34.48306909999519,252,250,5,distance_20m/hybrid-pso-sdr_seed_202.npz
20.0,hybrid-pso-sdr,303,0.137720382687436,0.0014118348181567763,0.018966904414760892,4.999999969654058,-3.034594175943539e-08,6.087475412641652e-09,True,34.7933755999984,252,250,4,distance_20m/hybrid-pso-sdr_seed_303.npz
20.0,hybrid-two-stage-sdr,,0.1774955033374726,0.000996260117960055,0.03150465400736596,5.000000030292576,3.029257555908771e-08,2.6527004592935555e-08,True,0.13838659999601077,1,1,0,distance_20m/hybrid-two-stage-sdr.npz
25.0,fully-digital-sdr,,0.056047025876831386,0.00024026557537329418,0.0031412691272230233,5.000000000208614,2.0861357086232601e-10,2.1596235910692485e-10,True,0.21209929999895394,1,1,0,distance_25m/fully-digital-sdr.npz
25.0,hybrid-de-sdr,101,0.22687046413499803,0.0012396053300778147,0.05147020796491107,4.999999999878128,-1.2187229003757238e-10,5.5990767577895895e-11,True,35.412213400006294,252,251,20,distance_25m/hybrid-de-sdr_seed_101.npz
25.0,hybrid-de-sdr,202,0.21957064303696136,0.0014174053475632495,0.04821126789565265,4.999999953265029,-4.67349705601805e-08,3.470404408290051e-09,True,34.760867599994526,252,250,10,distance_25m/hybrid-de-sdr_seed_202.npz
25.0,hybrid-de-sdr,303,0.230490589290593,0.0011933172113835155,0.05312591218530184,4.999999996296647,-3.7033531796737407e-09,4.745857040688861e-10,True,35.20171470000059,252,251,21,distance_25m/hybrid-de-sdr_seed_303.npz
25.0,hybrid-pso-sdr,101,0.2771996853457421,0.000998483979417498,0.07683966585947292,5.000000000074504,7.45039585581253e-11,5.911715561524034e-11,True,32.88035950000631,252,231,5,distance_25m/hybrid-pso-sdr_seed_101.npz
25.0,hybrid-pso-sdr,202,0.22455863734925413,0.0011203278648128153,0.050426581990489674,4.999999979805677,-2.019432265853993e-08,9.037535164679866e-10,True,34.95647950000421,252,250,5,distance_25m/hybrid-pso-sdr_seed_202.npz
25.0,hybrid-pso-sdr,303,0.21602456228327202,0.0014708554667834466,0.04666661216869341,4.99999999991357,-8.643041837785859e-11,1.7564616427989677e-11,True,35.233687400002964,252,250,4,distance_25m/hybrid-pso-sdr_seed_303.npz
25.0,hybrid-two-stage-sdr,,0.2771996853457421,0.000998483979417498,0.07683966585947292,5.000000000074504,7.45039585581253e-11,5.911715561524034e-11,True,0.1388301999977557,1,1,0,distance_25m/hybrid-two-stage-sdr.npz
30.0,fully-digital-sdr,,0.08071228327872969,0.00024024002524455202,0.006514472689646986,4.99999998099657,-1.900342994076709e-08,8.231211268139305e-10,True,0.227077300005476,1,1,0,distance_30m/fully-digital-sdr.npz
30.0,hybrid-de-sdr,101,0.3290336149322365,0.001252186325483174,0.10826312023300644,4.99999999913505,-8.649498894897079e-10,1.0262226624035975e-09,True,35.50649020000128,252,251,20,distance_30m/hybrid-de-sdr_seed_101.npz
30.0,hybrid-de-sdr,202,0.3196094290430615,0.001397504776401244,0.10215018772815557,4.999999993685393,-6.314606615376306e-09,6.104130534367869e-10,True,34.829479299995,252,250,10,distance_30m/hybrid-de-sdr_seed_202.npz
30.0,hybrid-de-sdr,303,0.34104939926774386,0.001228906021028833,0.11631469320092525,4.999999944270022,-5.5729977965768285e-08,8.636206416667846e-09,True,35.187290600006236,252,251,32,distance_30m/hybrid-de-sdr_seed_303.npz
30.0,hybrid-pso-sdr,101,0.39883414086956853,0.0010004079577138633,0.15906867222803286,5.000000001802804,1.802804128203661e-09,1.518841941106075e-09,True,32.81827039999189,252,231,5,distance_30m/hybrid-pso-sdr_seed_101.npz
30.0,hybrid-pso-sdr,202,0.32439457206233313,0.0011133334328055785,0.10523183876108098,4.999999964513903,-3.5486096727765926e-08,4.361226046967204e-09,True,34.90503019999596,252,250,5,distance_30m/hybrid-pso-sdr_seed_202.npz
30.0,hybrid-pso-sdr,303,0.31334284741549207,0.0012847516472631164,0.09818374052924583,4.9999999885934265,-1.140657346354601e-08,4.719709068012889e-10,True,35.25523439999961,252,250,4,distance_30m/hybrid-pso-sdr_seed_303.npz
30.0,hybrid-two-stage-sdr,,0.39883414086956853,0.0010004079577138633,0.15906867222803286,5.000000001802804,1.802804128203661e-09,1.518841941106075e-09,True,0.14141830000153277,1,1,0,distance_30m/hybrid-two-stage-sdr.npz
35.0,fully-digital-sdr,,0.109862733982544,0.00024022127005214066,0.012069820335697557,4.999999998350237,-1.6497629928835522e-09,2.7060309548687655e-10,True,0.21873259999847505,1,1,0,distance_35m/fully-digital-sdr.npz
35.0,hybrid-de-sdr,101,0.4505702775242863,0.0012614662686694419,0.20301357547304918,4.999999998580413,-1.4195871145261663e-09,1.7554526721141883e-09,True,35.343489300008514,252,251,20,distance_35m/hybrid-de-sdr_seed_101.npz
35.0,hybrid-de-sdr,202,0.4426627500951247,0.0017780900860654633,0.19595031128485857,4.999999999750159,-2.4984103674796643e-10,2.509636942704674e-11,True,34.8903294000047,252,250,15,distance_35m/hybrid-de-sdr_seed_202.npz
